cityId,PlainsHills,PlainsMountain,PlainsHillsBonus,PlainsRainforest,Plains,PlainsHillsWoodsLux,DesertHillsLux,PlainsWoods,PlainsWheat,PlainsHillsRainforest,Grassland,PlainsHillsWoods,DesertHills,PlainsRainforestBonus,CoastandLake,GrasslandHillsLux,DesertMountain,Desert,PlainsHillsLux,CoastandLakeBonus,GrasslandWoods,GrasslandHillsStone,GrasslandMarsh,GrasslandHills,GrasslandCattle,GrasslandStone,GrasslandLux,Ocean,Tundra,GrasslandHorses,Snow,GrasslandWoodsBonus,GrasslandHillsWoods,PlainsRainforestLux,GrasslandRice,PlainsLux,GrasslandMountain,CoastandLakeReef,DesertFloodplainsLux,DesertFloodplains,CoastandLakeLux,CoastandLakeReefBonus,PlainsHorses,DesertHillsBonus,TundraWoods,TundraBonus,TundraMountain,GrasslandHillsBonus,CoastandLakeReefLux,PlainsWoodsBonus,DesertFloodplainsWheat,GrasslandMarshRice,PlainsHillsRainforestBonus,GrasslandWoodsLux,PlainsWoodsLux,TundraHills,PlainsHillsRainforestLux,GrasslandMarshLux,DesertLux,GrasslandHillsWoodsLux,TundraWoodsLux,GrasslandHillsWoodsBonus,TundraHillsBonus,DesertOasis,PlainsHillsWoodsBonus,TundraHillsWoods,TundraHillsLux,hasRiver,cityHasRiver
1,10.53,5.26,5.26,5.26,26.32,5.26,5.26,15.79,5.26,5.26,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,1.0
2,0.0,0.0,0.0,10.53,10.53,0.0,5.26,10.53,0.0,0.0,0.0,5.26,5.26,5.26,10.53,5.26,10.53,5.26,5.26,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,1.0
3,5.26,0.0,0.0,5.26,31.58,0.0,0.0,10.53,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,5.26,5.26,5.26,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63,1.0
4,5.26,0.0,0.0,10.53,15.79,0.0,0.0,5.26,5.26,0.0,0.0,5.26,0.0,0.0,26.32,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,31.58,5.26,5.26,5.26,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,5.26,0.0,5.26,10.53,5.26,0.0,0.0,0.0,5.26,0.0,0.0,5.26,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.95,1.0
7,21.05,10.53,0.0,21.05,15.79,0.0,0.0,10.53,5.26,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,1.0
8,0.0,0.0,0.0,5.26,10.53,0.0,0.0,0.0,0.0,10.53,15.79,0.0,0.0,0.0,15.79,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,5.26,0.0,5.26,5.26,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,1.0
9,5.26,5.26,0.0,15.79,10.53,0.0,0.0,10.53,10.53,15.79,5.26,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.58,1.0
10,21.05,15.79,5.26,0.0,10.53,0.0,0.0,5.26,0.0,0.0,15.79,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68,1.0
